0:0:0:0:0:0:0:1 - - [13/May/2021:15:32:12 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [13/May/2021:15:32:14 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 775
0:0:0:0:0:0:0:1 - - [13/May/2021:15:32:49 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [13/May/2021:15:33:16 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [13/May/2021:15:33:54 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 872
0:0:0:0:0:0:0:1 - - [13/May/2021:15:34:13 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [13/May/2021:15:46:07 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 200 927
0:0:0:0:0:0:0:1 - - [13/May/2021:15:46:10 +0700] "POST /Web-Lab8/Register.jsp HTTP/1.1" 200 918
0:0:0:0:0:0:0:1 - - [13/May/2021:15:46:15 +0700] "POST /Web-Lab8/Register.jsp HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [13/May/2021:15:46:25 +0700] "POST /Web-Lab8/Register.jsp HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [13/May/2021:15:59:12 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:15:59:12 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [13/May/2021:15:59:20 +0700] "GET /Web-Lab8/Homepage.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [13/May/2021:15:59:23 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:15:59:23 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [13/May/2021:16:00:23 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [13/May/2021:16:00:25 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [13/May/2021:16:00:30 +0700] "POST /Web-Lab8/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/May/2021:16:00:30 +0700] "GET /Web-Lab8/Login.jsp HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [13/May/2021:16:00:31 +0700] "GET /Web-Lab8/Homepage.jsp HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [13/May/2021:16:00:37 +0700] "GET /Web-Lab8/Register.jsp HTTP/1.1" 302 -
